flight_id,date,origin,destination,aircraft_type,flight_duration_hr,fuel_burn_kg,SAF_blend_pct,co2_emissions_kg
DLH0000,2024-01-09,FRA,CDG,B787,3.77,19604.0,0,61948.64
DLH0001,2024-08-06,ZRH,MUC,B737,1.62,3888.0000000000005,0,12286.080000000002
DLH0002,2024-06-29,CDG,ZRH,B787,2.47,12844.000000000002,20,32469.63200000001
DLH0003,2024-08-14,FRA,CDG,B787,2.58,13416.0,10,38155.10400000001
DLH0004,2024-04-25,LHR,TXL,A350,4.97,27832.0,0,87949.12000000001
DLH0005,2024-11-25,ZRH,FRA,A320,7.24,18100.0,0,57196.0
DLH0006,2024-04-07,CDG,FRA,A320,11.07,27675.0,20,69962.40000000001
DLH0007,2024-11-14,MUC,LHR,B787,1.35,7020.000000000001,0,22183.200000000004
DLH0008,2024-06-19,MUC,TXL,B737,9.34,22416.0,50,35417.28
DLH0009,2024-04-19,MUC,FRA,B787,10.12,52623.99999999999,10,149662.656
DLH0010,2024-10-28,CDG,ZRH,A320,8.16,20400.0,0,64464.0
DLH0011,2024-05-28,TXL,ZRH,A320,7.96,19900.0,0,62884.0
DLH0012,2024-06-04,LHR,MUC,B787,2.51,13051.999999999998,10,37119.888
DLH0013,2024-05-19,ZRH,CDG,B737,8.03,19272.0,0,60899.520000000004
DLH0014,2024-03-06,ZRH,MUC,B737,9.35,22440.0,50,35455.200000000004
DLH0015,2024-11-20,TXL,ZRH,A320,1.82,4550.0,0,14378.0
DLH0016,2024-01-04,MUC,ZRH,A320,8.31,20775.0,0,65649.0
DLH0017,2024-08-06,MUC,TXL,B737,3.01,7223.999999999999,0,22827.839999999997
DLH0018,2024-09-03,TXL,CDG,B787,8.15,42380.0,10,120528.72000000002
DLH0019,2024-02-23,TXL,ZRH,B737,11.61,27864.0,0,88050.24
DLH0020,2024-09-27,LHR,FRA,B787,9.08,47216.0,10,134282.304
DLH0021,2024-04-10,FRA,ZRH,B787,4.53,23556.0,0,74436.96
DLH0022,2024-04-12,ZRH,TXL,B787,1.59,8268.0,0,26126.88
DLH0023,2024-03-23,ZRH,MUC,B787,6.72,34944.0,0,110423.04000000001
DLH0024,2024-12-08,LHR,TXL,A350,6.75,37800.0,20,95558.40000000001
DLH0025,2024-10-22,FRA,LHR,A350,5.18,29008.0,20,73332.224
DLH0026,2024-03-11,CDG,MUC,B737,3.85,9240.0,0,29198.4
DLH0027,2024-06-28,FRA,MUC,B737,6.6,15840.0,0,50054.4
DLH0028,2024-09-23,LHR,FRA,B787,2.59,13468.0,10,38302.992000000006
DLH0029,2024-10-31,CDG,FRA,A350,9.34,52304.0,10,148752.57600000003
DLH0030,2024-08-29,CDG,MUC,A320,7.59,18975.0,0,59961.0
DLH0031,2024-10-16,CDG,LHR,B737,1.93,4632.0,20,11709.696000000002
DLH0032,2024-08-08,LHR,ZRH,A320,8.76,21900.0,0,69204.0
DLH0033,2024-06-09,FRA,CDG,B737,8.47,20328.0,10,57812.832
DLH0034,2024-06-21,LHR,FRA,B737,11.8,28320.0,20,71592.96
DLH0035,2024-10-12,FRA,MUC,A350,2.11,11816.0,10,33604.704000000005
DLH0036,2024-05-19,MUC,LHR,A320,2.93,7325.0,0,23147.0
DLH0037,2024-01-15,ZRH,TXL,B787,9.57,49764.0,20,125803.39200000002
DLH0038,2024-06-16,ZRH,CDG,A350,1.85,10360.0,10,29463.840000000004
DLH0039,2024-10-31,FRA,LHR,A320,9.17,22925.0,20,57954.4
DLH0040,2024-08-23,LHR,ZRH,A320,1.91,4775.0,0,15089.0
DLH0041,2024-10-25,FRA,MUC,B737,3.21,7704.0,20,19475.712
DLH0042,2024-06-22,CDG,MUC,A350,6.21,34776.0,10,98902.944
DLH0043,2024-08-14,LHR,ZRH,A350,9.23,51688.0,10,147000.67200000002
DLH0044,2024-08-19,MUC,ZRH,B737,6.08,14592.0,0,46110.72
DLH0045,2024-05-10,CDG,FRA,A320,8.74,21850.0,10,62141.4
DLH0046,2024-08-07,LHR,TXL,A320,7.02,17550.0,10,49912.200000000004
DLH0047,2024-03-27,ZRH,CDG,A320,4.32,10800.0,50,17064.0
DLH0048,2024-11-12,TXL,FRA,B787,6.73,34996.0,20,88469.888
