flight_id,date,origin,destination,aircraft_type,flight_duration_hr,fuel_burn_kg,SAF_blend_pct,co2_emissions_kg
DLH0000,2023-03-04,FRA,MUC,B787,10.46,54392.00000000001,0,171878.72000000003
DLH0001,2023-06-11,FRA,LHR,A320,8.35,20875.0,10,59368.5
DLH0002,2021-12-08,ZRH,CDG,B787,9.31,48412.0,10,137683.728
DLH0003,2025-02-09,ZRH,BER,A350,10.81,62698.0,0,198125.68000000002
DLH0004,2022-01-31,MUC,ZRH,A350,2.84,16472.0,0,52051.520000000004
DLH0005,2023-12-31,LHR,ZRH,A350,10.94,63452.0,0,200508.32
DLH0006,2021-11-16,FRA,MUC,B737,9.83,23592.0,10,67095.648
DLH0007,2021-12-17,FRA,MUC,B787,8.57,44564.0,0,140822.24000000002
DLH0008,2024-06-19,LHR,CDG,B737,10.53,25272.0,0,79859.52
DLH0009,2020-06-29,FRA,CDG,B787,9.64,50128.0,0,158404.48
DLH0010,2023-07-05,ZRH,MUC,A320,8.44,21100.0,0,66676.0
DLH0011,2020-08-03,LHR,CDG,B787,6.13,31876.0,0,100728.16
DLH0012,2023-01-16,MUC,BER,A350,10.78,62523.99999999999,20,158060.67200000002
DLH0013,2021-06-07,ZRH,LHR,B787,6.83,35516.0,10,101007.50400000002
DLH0014,2022-05-30,CDG,MUC,A350,8.15,47270.0,50,74686.6
DLH0015,2023-07-04,BER,LHR,B737,4.49,10776.0,0,34052.16
DLH0016,2022-01-19,CDG,BER,A350,7.62,44196.0,0,139659.36000000002
DLH0017,2024-11-03,MUC,ZRH,B737,3.42,8208.0,0,25937.280000000002
DLH0018,2020-10-30,LHR,ZRH,A320,11.83,29575.0,10,84111.3
DLH0019,2023-07-25,CDG,LHR,A350,6.08,35264.0,0,111434.24
DLH0020,2023-10-14,FRA,CDG,A350,10.09,58522.0,0,184929.52000000002
DLH0021,2020-01-04,CDG,FRA,A320,4.73,11825.000000000002,20,29893.600000000006
DLH0022,2022-04-15,CDG,FRA,B737,4.3,10320.0,0,32611.2
DLH0023,2023-10-17,LHR,BER,B787,8.31,43212.0,0,136549.92
DLH0024,2025-03-31,ZRH,CDG,A320,4.33,10825.0,10,30786.3
DLH0025,2023-02-23,CDG,LHR,B787,4.2,21840.0,10,62112.96000000001
DLH0026,2022-07-26,LHR,FRA,B737,7.42,17808.0,0,56273.280000000006
DLH0027,2024-11-11,BER,ZRH,B787,4.59,23868.0,20,60338.304000000004
DLH0028,2025-01-24,BER,FRA,B787,8.24,42848.0,20,108319.744
DLH0029,2021-06-15,BER,CDG,A350,9.16,53128.0,10,151096.032
DLH0030,2021-12-14,FRA,LHR,A350,2.94,17052.0,0,53884.32
DLH0031,2025-02-11,LHR,ZRH,A320,10.98,27450.0,10,78067.8
DLH0032,2021-09-04,ZRH,BER,B737,7.06,16944.0,0,53543.04
DLH0033,2022-06-04,FRA,CDG,A350,2.39,13862.0,10,39423.528000000006
DLH0034,2022-03-04,ZRH,CDG,B737,6.81,16343.999999999998,20,41317.632
DLH0035,2025-02-01,FRA,MUC,B737,4.31,10343.999999999998,0,32687.039999999997
DLH0036,2022-05-18,MUC,FRA,A350,1.92,11136.0,50,17594.88
DLH0037,2024-01-09,MUC,ZRH,B737,10.5,25200.0,10,71668.8
DLH0038,2022-06-24,ZRH,MUC,B737,8.4,20160.0,20,50964.48000000001
DLH0039,2021-12-22,MUC,CDG,A320,3.74,9350.0,0,29546.0
DLH0040,2021-07-08,FRA,CDG,B787,8.38,43576.00000000001,0,137700.16000000003
DLH0041,2024-06-02,ZRH,CDG,B787,2.34,12168.0,0,38450.880000000005
DLH0042,2021-01-26,FRA,CDG,B787,11.63,60476.00000000001,0,191104.16000000003
DLH0043,2022-11-24,BER,CDG,A350,1.96,11368.0,10,32330.592000000004
DLH0044,2023-10-04,BER,FRA,A320,4.23,10575.000000000002,0,33417.00000000001
DLH0045,2024-02-25,MUC,BER,B787,11.67,60684.0,20,153409.152
DLH0046,2021-08-25,FRA,MUC,A350,9.39,54462.0,0,172099.92
DLH0047,2024-01-30,LHR,CDG,A350,3.1,17980.0,0,56816.8
DLH0048,2020-04-27,ZRH,MUC,B737,10.8,25920.0,20,65525.76
DLH0049,2024-11-09,ZRH,LHR,B737,7.63,18312.0,10,52079.32800000001
DLH0050,2022-10-12,BER,ZRH,B737,5.65,13560.0,0,42849.6
DLH0051,2024-05-04,MUC,CDG,B787,3.88,20176.0,20,51004.92800000001
DLH0052,2020-03-22,ZRH,LHR,A320,4.43,11075.0,10,31497.3
DLH0053,2023-10-30,LHR,FRA,B737,7.95,19080.0,10,54263.520000000004
DLH0054,2025-04-14,BER,ZRH,B787,4.86,25272.0,20,63887.61600000001
DLH0055,2024-07-15,FRA,BER,A320,2.94,7350.0,20,18580.8
DLH0056,2023-12-28,ZRH,CDG,A350,2.57,14905.999999999998,0,47102.96
DLH0057,2024-10-10,FRA,MUC,B737,6.78,16272.0,0,51419.520000000004
DLH0058,2021-05-23,MUC,BER,B737,8.92,21408.0,10,60884.352
DLH0059,2021-04-28,FRA,ZRH,B787,7.59,39468.0,0,124718.88
DLH0060,2025-01-15,BER,MUC,B787,8.12,42223.99999999999,0,133427.84
DLH0061,2020-08-10,BER,FRA,A320,8.18,20450.0,0,64622.0
DLH0062,2024-11-04,FRA,MUC,A350,1.5,8700.0,0,27492.0
DLH0063,2020-12-29,LHR,FRA,A350,5.48,31784.000000000004,0,100437.44000000002
